Ecorr_400,i_400,Ecorr_493,i_493,Ecorr_625,i_625,Ecorr_816,i_816,Ecorr_1111,i_1111,Ecorr_1600,i_1600,Ecorr_2500,i_2500,Ecorr_3600,i_3600
0.291496332,0.1296278,0.291497579,0.0588808,0.291533101,0.1117716,0.291515272,0.09958568,0.291724544,0.145333,0.291711478,0.1376837,0.291707499,0.1583657,0.291732989,0.203743
0.292481182,0.1322202,0.292488412,0.05825026,0.292521293,0.1117827,0.292516653,0.09933324,0.292749005,0.1438231,0.292723867,0.1388939,0.292754517,0.1548221,0.292750376,0.2038706
0.293497595,0.1302123,0.293503882,0.05799259,0.293527142,0.1099329,0.29350085,0.09713794,0.293733606,0.1446613,0.293741085,0.1386196,0.293736159,0.1535215,0.293726911,0.2014603
0.294489599,0.1390783,0.294496671,0.0586943,0.294520021,0.1129633,0.294512066,0.0989365,0.294752079,0.1438566,0.294712753,0.1373757,0.294759069,0.1535992,0.294764084,0.201776
0.295502437,0.1325589,0.295482366,0.05771468,0.295526487,0.1113849,0.295516214,0.09921343,0.295769547,0.1442112,0.295737509,0.1386474,0.295768456,0.1545954,0.295767545,0.2030208
0.296500681,0.1310353,0.296495007,0.05888233,0.296524672,0.1094,0.296496167,0.09858845,0.296742323,0.144729,0.296734857,0.137427,0.29673708,0.1530656,0.296722964,0.2007822
0.297517154,0.1304407,0.297500153,0.05807017,0.297532119,0.1094738,0.297510768,0.09807294,0.297724267,0.1445765,0.297694714,0.1369138,0.297741331,0.1523047,0.297742127,0.2012416
0.298471538,0.1290552,0.298472855,0.05766163,0.29849838,0.1122994,0.298491325,0.1000331,0.298732829,0.1450125,0.298731638,0.1351811,0.298752623,0.1522377,0.298757637,0.2004931
0.299485815,0.1309793,0.299488912,0.05786082,0.299494478,0.1102525,0.29948066,0.09957509,0.299719222,0.1445618,0.299730411,0.1372508,0.299702649,0.1532282,0.299689547,0.2028102
0.300461693,0.1335969,0.300481437,0.05877428,0.300510251,0.111652,0.300500565,0.09916443,0.300727012,0.1431184,0.300694058,0.1354805,0.300712381,0.1539993,0.300714177,0.2034272
0.301487069,0.131743,0.301485921,0.05778376,0.301514244,0.1099859,0.301502029,0.09853338,0.301745021,0.1444725,0.301729279,0.1349589,0.3017209,0.1535448,0.301729862,0.2033401
0.302490572,0.1317832,0.302484267,0.05902597,0.30250573,0.112048,0.302486892,0.1001603,0.302717919,0.1437672,0.30272312,0.1372333,0.302691148,0.1545941,0.302702802,0.2006036
0.303487487,0.1374509,0.303512115,0.05914062,0.303520125,0.1108951,0.303503942,0.1003339,0.303719444,0.1449558,0.30370117,0.136874,0.3037232,0.1552393,0.303722771,0.2029153
0.304497339,0.1315754,0.304483886,0.05802637,0.3045334,0.1103056,0.304503692,0.09990892,0.304728034,0.1447341,0.304718199,0.1358452,0.304729494,0.1537399,0.304708332,0.2029448
0.305486392,0.1309747,0.305499424,0.0580158,0.305512315,0.1107575,0.305496082,0.09818464,0.30571361,0.1454494,0.305723504,0.1372134,0.305716934,0.1519617,0.305708206,0.1998526
0.306494799,0.1306292,0.306494716,0.05781663,0.306519453,0.1114532,0.306493862,0.09967515,0.306731915,0.1444104,0.306688411,0.1364123,0.30672831,0.1551856,0.306740952,0.1996935
0.307475881,0.1367301,0.30749608,0.0575568,0.307516708,0.1125283,0.30751725,0.09830514,0.307747155,0.1447754,0.307718911,0.136616,0.307719776,0.1572658,0.307723209,0.2014196
0.308472879,0.1330783,0.308477214,0.05764406,0.308501138,0.1123545,0.308479487,0.09873823,0.308721878,0.1433965,0.308713752,0.1364361,0.308708389,0.1537194,0.30869326,0.2005331
0.309479862,0.1430227,0.309505468,0.05873752,0.309516751,0.1123705,0.30949455,0.09882647,0.309733418,0.1439833,0.309703635,0.1362846,0.309738709,0.1533302,0.309742252,0.2003882
0.310516216,0.1295715,0.310490732,0.05736418,0.310528489,0.1122099,0.310509311,0.09882598,0.310744053,0.1444414,0.310736851,0.1357538,0.310750896,0.1546969,0.310748583,0.2003577
0.311461549,0.1369107,0.311490692,0.05814872,0.311509359,0.1105035,0.31148813,0.09782608,0.311714118,0.1456536,0.311735033,0.1367585,0.311721222,0.1534,0.311705371,0.1985623
0.312518214,0.1328121,0.312491226,0.05867887,0.312515179,0.1116174,0.312494423,0.09757928,0.312740597,0.1442834,0.312718128,0.1355042,0.312747743,0.1526088,0.312726374,0.201692
0.313492554,0.1297283,0.313493052,0.05763336,0.313521538,0.1118336,0.313494428,0.09830683,0.313732949,0.1449409,0.31374154,0.1359641,0.31374153,0.153455,0.31373712,0.2021438
0.314465505,0.1295781,0.314471457,0.05894788,0.314487987,0.1115048,0.314474011,0.09759804,0.314679323,0.1454356,0.314712199,0.1361685,0.31468064,0.1523713,0.314670118,0.201546
