0h,0h,8h,8h,24h,24h,40h,40h
424.2843093,0.90666845,420.6120826,1.432407522,424.4914759,1.901955695,417.2858583,2.488436443
428.2235094,0.898027892,424.5528577,1.416032219,428.4325045,1.8924102,421.2261413,2.463453963
432.1591039,0.89059216,428.4881079,1.40848217,432.3680094,1.893791017,425.1628168,2.448418006
436.0949278,0.878608327,432.423589,1.402405762,436.301828,1.89107042,429.0958885,2.437211653
440.0290648,0.898027892,436.3573838,1.399792817,440.2377913,1.890954563,433.0311091,2.425136159
443.9596019,0.891193451,440.2875786,1.402315329,444.168239,1.897969457,436.9627281,2.437037103
447.888456,0.904761516,444.218005,1.408514258,448.0970037,1.910778289,440.8907489,2.436704846
451.819453,0.911990749,448.1467484,1.418589409,452.0259989,1.915725401,444.820917,2.456609347
455.7449425,0.89857675,452.0738098,1.416279431,455.9533116,1.918570634,448.7474892,2.44389775
459.6687521,0.90872939,455.9972789,1.422111051,459.8770322,1.934755123,452.6704689,2.461251223
463.590883,0.931903627,459.9190697,1.441451139,463.799074,1.95182765,456.5936827,2.475588464
467.5132455,0.94087816,463.8410936,1.454414804,467.7194381,1.963216712,460.5152185,2.483263655
471.4339297,0.961427233,467.7614398,1.47325463,471.6419425,1.995305434,464.4350775,2.500151861
475.3510292,0.976602294,471.6801095,1.499393688,475.558953,2.012603779,468.3532606,2.518589451
479.2664542,1.026668595,475.5951962,1.531798944,479.4742892,2.039407461,472.269769,2.541807031
483.1802058,1.061225253,479.5086101,1.555208178,483.3898579,2.076391878,476.1826963,2.561415521
487.0941903,1.112867537,483.4222583,1.606475605,487.3018477,2.130517124,480.0958593,2.597050182
491.0045976,1.137577905,487.3323291,1.655173874,491.2121663,2.160732764,484.0073507,2.623181953
494.9133347,1.163214859,491.2426347,1.690510036,495.1208148,2.170858631,487.9152668,2.68639434
498.8204028,1.157080756,495.1493667,1.701435623,499.0296969,2.169067096,491.8234192,2.694883608
502.7277047,1.163600033,499.056334,1.691416806,502.9350075,2.182817731,495.7299033,2.7077225
506.6314369,1.182600819,502.9597314,1.713557218,506.8386513,2.226758969,499.6328177,2.718076749
510.5335033,1.245982612,506.8614636,1.761190706,510.7425295,2.277644867,503.5359692,2.73503745
514.4339048,1.287675124,510.7634318,1.790994326,514.6428419,2.313446781,507.4374556,2.763654606
518.3345413,1.387706081,514.6618359,1.877804327,518.5414905,2.416011628,511.3353778,2.832286798
522.2297177,1.510725876,518.5585779,1.976188654,522.4365788,2.523485672,515.2316387,2.880871149
526.1251312,1.721722289,522.4536589,2.142265724,526.333801,2.713983476,519.1281378,3.0009766
530.0188841,1.954848897,526.3470799,2.328784009,530.227465,2.892706786,523.0210784,3.1054424
533.9109775,2.192369761,530.2407382,2.590761463,534.1194695,3.114619643,526.9142576,3.28495016
537.803307,2.258184527,534.1308417,2.761032176,538.0117102,3.153749724,530.8057781,3.471164954
541.69019,2.099599321,538.0192884,2.797234761,541.8985044,3.019231966,534.6918504,3.629293725
545.5773113,1.821800323,541.9060794,2.556593214,545.785537,2.772560874,538.5800583,3.578167564
549.4627772,1.633401128,545.7912158,2.326906676,549.6709143,2.640572271,542.4666105,3.422083011
553.346589,1.477991923,549.6746986,2.12346323,553.5546375,2.50739089,546.3477227,3.200922379
557.2287476,1.434589387,553.5565288,2.04498004,557.4367075,2.459799395,550.2309686,3.092274894
561.1092541,1.40468905,557.4385981,1.991479081,561.3171256,2.439811442,554.1125622,3.01580618
564.9862207,1.404664781,561.3152358,1.960453004,565.1940037,2.446315365,557.9887236,2.996880739
568.8634269,1.408281065,565.1921148,1.9731022,569.0730097,2.459188628,561.8670171,2.990914714
572.7389843,1.472870134,569.0673454,2.000619197,572.9465906,2.513841061,565.7417726,2.992245717
576.6128938,1.556244938,572.9409287,2.061452115,576.8204118,2.568756131,569.6148815,3.008721878
580.4832706,1.5664118,576.8128658,2.117109266,580.6907005,2.579911675,573.486345,3.074242026
584.3538883,1.488611132,580.6831577,2.109688685,584.5631149,2.530965084,577.3580503,3.12031427
588.2228612,1.415464786,584.5499206,2.021686511,588.4301148,2.467482951,581.2243394,3.093239791
592.0901904,1.369841323,588.4188102,1.965214807,592.297356,2.439542421,585.0927573,3.029036651
595.9539944,1.334112234,592.2822896,1.940405245,596.1629546,2.427331193,588.9557643,2.975767638
599.8180402,1.377281454,596.1460121,1.938910787,600.0269117,2.429777743,592.820899,2.968328693
603.6785645,1.385019997,600.0080946,1.937156277,603.8873473,2.444671129,596.6825105,2.958555736
607.539331,1.408171694,603.8666573,1.969322409,607.7461451,2.464674491,600.5406021,2.979006248
611.3984591,1.442934428,607.727344,1.985890221,611.6070647,2.489930307,604.4008198,2.994437092
615.2540712,1.446794468,611.5826337,1.998132384,615.4625884,2.509421243,608.2575198,3.002140337
619.1080485,1.522071631,615.4362892,2.062275106,619.3164773,2.558366706,612.1107055,3.054481589
622.9641459,1.555787924,619.2920669,2.084664068,623.1706094,2.585528985,615.9660156,3.073690608
