name,A,mu,sigma,baseline,r2,S_exp,S_theory,notes
sample_03258,3.2326112326087655,154.75597922659182,25.30429771861811,2.9937907581517953,63.96904271432733,0.07044905577228366,0.07287212848520441,
sample_03259,3.2021201119892018,154.15980670607587,26.442423473392186,2.8951850531561494,60.6694158507279,0.07246567113322522,0.0721530694498922,
sample_03260,3.031485239069261,150.96000093239064,26.544005186520188,2.878756555362967,50.27265568147229,0.06382918903561163,0.06245765743007814,
sample_03261,3.1939423799641085,151.93306460266425,25.44197992958564,2.8777218274229073,45.471016015710994,0.06766079011921544,0.06850397914446171,
sample_03262,2.9585494034544295,158.43666602158808,25.49589518224113,2.9888478290390226,61.88313068566651,0.07715523850771921,0.07372423680307538,
sample_03263,3.1720013622778613,157.66513509840593,23.726286801285035,2.9478773554260647,59.71955334414439,0.08971839696731032,0.07787749884344408,
sample_03264,3.3786597322391256,156.9154511196707,23.473941510325933,2.832814341111061,50.9491277511835,0.09550125514994046,0.08343931576114161,
sample_03265,3.660580539864725,153.48481320954022,22.50096179894982,2.7952597609445253,60.56976798023139,0.08723889257849415,0.08388902439067258,
sample_03266,3.5339880304389104,153.15285486523098,22.761575113995008,2.787039692407021,52.08775856194142,0.08584561466063212,0.0810242869992388,
sample_03267,3.3689185599969145,155.44190839958006,23.115657248831152,2.8242013354443696,64.37906341432202,0.09022023291592252,0.08115379190950156,
sample_03268,3.4233245651549074,156.01458091764306,23.303975623378676,2.856808090934602,61.700119654651864,0.08550853728703178,0.0823431049341069,
sample_03269,3.6022130059145323,155.91160930606097,23.270409120433822,2.710169402071338,62.45255215380777,0.09402013798551634,0.08910731895562529,
sample_03270,3.803208401665052,155.57524155371368,22.05838071364093,2.645411419304485,68.65286399136406,0.10191078499653328,0.09436389529904088,
sample_03271,4.225507758849998,153.24989790907878,21.679111094392713,2.4088032862145505,59.13976502748564,0.10625325375361394,0.10446524786372124,
sample_03272,3.89862672571855,155.02203475677214,21.72776459066656,2.4568375742467627,59.4933102066605,0.1051552122096121,0.10073573115871415,
sample_03273,3.771040333835739,153.82090234645545,21.58785948637917,2.572856759364266,47.88343256928445,0.09406748108709129,0.09262691547928259,
sample_03274,3.871930689969866,154.0191949796567,22.24179357986165,2.502161706429758,56.93483532995177,0.09819509961347261,0.09655904319924102,
sample_03275,3.874149837692414,153.92980758562365,21.59459611016433,2.4856869486234214,60.57363596245592,0.103827922979423,0.09725588495112247,
sample_03276,3.665888754877484,155.26896133204366,22.227892978776595,2.503410633085319,56.65011597246206,0.10230266588900339,0.09509768945830765,
sample_03277,3.7073833964877405,154.7401124578967,22.418608549953074,2.6051104162766765,59.94718436889502,0.09364216689802818,0.09198345029239974,
sample_03278,3.5729236547333465,153.42679857325018,21.27551678468155,2.598510536995832,62.68083979109231,0.08794463385175466,0.08757969752807104,
sample_03279,3.5859385025466852,154.375859004789,22.09931636199852,2.6702319050925185,64.71109815822862,0.08749746949590875,0.0874235454073069,
sample_03280,3.5231647698912356,156.0247470107033,21.844211379062877,2.8006739832592547,64.44488193852708,0.09074645444572915,0.08570418377335054,
sample_03281,3.6127507727419776,156.3488285012255,21.51064837792596,2.7450770631586083,66.15278109932554,0.09357641574105258,0.08926133374505363,
