name,X,Y,A,mu,sigma,baseline,S_exp,S_theory,FWHM,G2,eta,r2,notes
sample_01921,119,9,3.514888591457299,155.44552787478037,24.03409116286764,2.651359890238817,0.0894364348437705,0.0877028478059638,0.9877858389464687,0.3825839162539303,0.2417558246972996,66.65168591923685,
sample_01922,120,9,3.5837563257621614,152.60031626419672,23.146529064336477,2.670720345059073,0.0833343876129016,0.0831372381518088,0.9513076020048856,0.35698014998454564,0.25082897068039295,58.36113883484546,
sample_01923,121,9,3.2897665602464383,152.98378018086868,23.503001099002294,2.7686226890507,0.0811864949171742,0.0762323147466148,0.9659583755846808,0.3671862820405525,0.2471219803397469,54.17048840172667,
sample_01924,122,9,2.8384935512240403,153.65191590547644,24.013014034828785,3.0828343367273643,0.0686219609327242,0.0630061546050138,0.9869195824085635,0.38196853419460314,0.2419652908385271,48.31556809268665,
sample_01925,123,9,2.628695433984812,153.4976003268727,25.154890032478924,3.121472490520932,0.0590918460145988,0.0578017634130462,1.033849958625756,0.41580239449896683,0.23101724930334153,44.60417845104488,
sample_01926,124,9,2.695034618541653,149.97936310271456,23.586179630403887,3.1217456706969777,0.051066590113,0.0540281157785167,0.9693769602470289,0.3695827923235502,0.24626928952542113,45.30048977668677,
sample_01927,125,9,2.933780752429547,149.8408462035195,25.706183375638457,2.889473166780003,0.0544994977812813,0.0591306735134681,1.056507763898617,0.43248512442175113,0.22601172874130496,57.33183453339099,
sample_01928,126,9,3.033885248951816,151.1804665997619,24.435009170995112,2.80316333387551,0.0648845634104333,0.0665318188721684,1.0042633137269084,0.39435582106135914,0.23782527911409163,49.019707631049855,
sample_01929,127,9,3.1249804836505746,151.62893901523523,23.40922343986908,2.848105235873794,0.0681229629076335,0.0690669293010631,0.9621041735233833,0.3644911786181151,0.24808886780328598,53.35915576229765,
sample_01930,128,9,3.193400498042469,152.27979400039175,23.55142144696791,2.8543503385608844,0.0695988769298474,0.0713272052112942,0.9679484210460708,0.3685806656906364,0.24662504719395437,50.71431105280635,
sample_01931,129,9,2.93920721175683,152.90610700075683,24.4702443795018,2.93167048442844,0.0687356110448703,0.0659241230815743,1.005711458354445,0.3953963867134139,0.2374846712663955,62.23505577867508,
sample_01932,130,9,3.00248308163308,153.12136116012945,23.943056260285985,2.987862407619655,0.0734203511552146,0.0667560996912906,0.9840443624325175,0.37992852627083495,0.24266258668372914,70.13479650339545,
sample_01933,131,9,3.1474697276226804,152.11755399179418,24.64623757048353,2.895636672403707,0.0676577844500923,0.0685416037829403,1.0129446664098154,0.4006080825264721,0.23579491757158344,65.02689119289803,
sample_01934,132,9,3.1104303664840853,150.2831858303727,25.14134459320722,2.872889887579607,0.0631564644625019,0.0638262622967356,1.0332932496990805,0.41539527351834243,0.23114247004471875,65.28387744344158,
sample_01935,133,9,3.296173607576847,149.86212411641034,24.883368073475925,2.8015921727944204,0.0651657199834052,0.0672793753549525,1.0226905790491094,0.40766747245957846,0.23354819267922983,53.6085038563966,
sample_01936,134,9,3.1747665450614595,151.5548728223922,24.490420907303665,2.8994290288745868,0.0714814322547442,0.0678882538385932,1.0065407007962224,0.3959926701722124,0.2372899787372927,71.84585112705008,
sample_01937,135,9,3.266651442194428,152.21344295250373,24.557930813412515,2.961503616182474,0.071282992522879,0.0696075920024189,1.0093153149387348,0.39799008586836926,0.23664038041206825,80.65340815968884,
sample_01938,136,9,3.1057764643251837,151.38596867882802,24.41366987565027,3.0435114433438315,0.0645594869296736,0.0639630473878742,1.0033862822797075,0.3937260949877152,0.23803193564923023,66.8226727418471,
sample_01939,137,9,2.999453385142344,149.89895230639112,24.57952618684152,3.0628326980493874,0.054183338208277,0.0587611484447356,1.0102028710320932,0.39862976551576784,0.23643317905527175,67.36365534606546,
