GH,logK2,logK3,a1,a2,a3,log diff
9.031864806896802711e-02,-4.876755829310533308e+00,-2.883014951571554185e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.863870826394253610e+00
3.280455613157519101e-01,-7.993081136763619199e+00,1.057737255506895346e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.246411961102596111e+00
8.794291462295450446e-02,-7.655613962196681221e+00,-2.789624494329252524e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.770300557129804497e+00
2.268390098264658761e-01,-8.523631061118601693e+00,2.358736465450772535e-01,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.247665771624522524e+00
9.307275737698783580e-02,-7.427605810621447091e+00,-2.202556323915715097e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.891946391507398850e+00
8.262103347130889119e-02,-9.122063152105667427e+00,-6.117252104279205405e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.539834656808291680e+00
9.420882778740963248e-02,-9.244577316170039083e+00,-4.475124373079855111e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.945372777640756778e+00
9.159670115791981870e-02,-6.634355061193239145e+00,-5.668801366710546574e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.701285078559330532e+00
1.014356523935726062e-01,-6.432064346253234532e+00,-1.241773238416023828e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.620517492462936637e+00
9.278649326575227896e-02,-5.729705822937273929e+00,-3.763169248768265529e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.920135485291505795e+00
-8.065979015304014510e-02,8.590254436759780177e+00,-9.249703988727219439e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.159221804060702077e+00
9.387132167229039759e-02,-8.124468044584745030e+00,-2.835432472957573058e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.937349973076475385e+00
9.960120832841368177e-02,-8.041314486391872407e+00,-2.521219578981590548e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.816007317589553915e+00
8.735627371856748979e-01,-9.199347100897274032e+00,5.856837343365230986e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.212717022826557134e+00
2.068556880151909416e-01,-1.923992423753434933e+00,-6.811281866247270722e-02,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.225501131692907419e+00
1.377346146731237564e-01,-4.661353757935077446e+00,-6.049435884532383678e-01,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.318563496814057157e+00
9.820868598205878541e-02,-9.308535249232594566e+00,-6.052904035543212657e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.855229886337681711e+00
8.139213091523989085e-02,-6.090296733577349464e+00,-4.205288271562221958e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.512293962485287135e+00
