GH,logK2,logK3,a1,a2,a3,log diff
2.403991438701444106e-01,-1.145926972077297323e+00,-6.702306431124706698e+00,1.289073253564047283e-01,5.411728789579411947e-01,9.683080340015766119e-01,-1.651280882271483064e+00
5.670608316874193866e-01,-3.222224884124358368e+00,-8.956121069208890617e+00,2.006511694847774585e-01,8.725626727343415157e-01,3.434168205812739849e-01,-2.001034714955160609e+00
5.286323286149303691e-01,-2.830395141516049318e+00,7.657442684981412562e+00,1.585730231823460623e-01,1.621457864059204224e-01,3.241399514986642028e-01,-1.837296682124494929e+00
9.768718332094750156e-02,-2.388951041124623753e+00,-1.685523652429237185e+00,5.823453720517790533e-01,4.314856303670988602e-02,2.475603047687935376e-01,-1.688323346998807484e+00
4.441281437598298409e-01,9.132266434859461768e-01,3.752981169272291861e+00,6.974252409755868354e-02,3.551092935492451419e-01,5.059090892018499597e-01,-2.075260896333106064e+00
-5.238241075778914402e-01,1.073591624851168158e-01,-8.338156932687951439e+00,5.904311576369016823e-01,1.383160870547783250e-01,9.020254988125366857e-01,-1.708513398979420561e+00
3.049230524229518680e-01,-8.810160596552060852e+00,9.836858534672462961e-03,7.321576068390671377e-02,1.765651494825128953e-01,6.681464420514425795e-01,-2.174291163305075880e+00
6.075286351821169717e-01,-3.714824432164656187e+00,6.665387685924228478e+00,6.173796083319210704e-02,8.492004033215142522e-01,4.776913857893482773e-01,-1.676069407982254900e+00
-1.941244229370619467e-01,2.015185544269784579e+00,-5.364228201060114110e+00,6.907818117710209371e-01,2.161997770447440514e-01,8.677918505157015128e-01,-1.735419549038172526e+00
4.102488613133825623e-01,-5.781284384659956643e+00,-8.386009301110179670e-02,4.450804046602455794e-02,3.636493685228194828e-01,7.587849389420642243e-01,-2.187265576552750446e+00
2.436870784290999792e-01,-3.657524091536660027e+00,3.746230192959003169e+00,2.337450252067252432e-01,1.698727268890915243e-01,1.167700568401697919e-01,-1.838660140009371613e+00
-9.451645133044217495e-02,3.221692778313669958e+00,-5.574177576625825026e+00,4.027223321261410027e-01,1.069145778004559899e-02,2.114400939030749438e-01,-1.233648904351760223e+00
-2.629813508399602706e-01,2.350906261260394814e+00,-4.554785914096559196e+00,8.059308421099603548e-01,1.020124087035725186e-01,4.956990158329758756e-01,-2.020099505736760559e+00
-7.244476731067240882e-01,-1.836352371787154825e+00,7.366609625895900848e+00,4.215687733657725311e-01,2.644395438246346375e-01,7.433107315533368231e-01,-1.386720246243341892e+00
7.378695578223336549e-01,-3.963958144377021320e+00,-5.036669773406838857e+00,1.361994372230077577e-01,9.596825256942930205e-01,3.025631005577967270e-01,-2.191557931596735287e+00
-1.380987735492840152e-01,2.651005977711015760e+00,-3.382724616024626041e+00,8.190315666539140782e-01,1.857543352075924359e-02,8.467610666265199537e-01,-1.994147702404135636e+00
-5.698364194085202561e-01,1.872524805703722262e+00,-9.290783685832206373e+00,7.730042611675365105e-01,1.515305294366686706e-01,3.775181857287340237e-01,-1.941153665809293605e+00
-9.782614510883348713e-02,3.154027656476161123e+00,1.080191786135186627e+00,9.114385739130610453e-01,-9.843288570754799016e-02,8.423011301555038965e-01,-1.928586023662308913e+00
-9.560546324637819726e-02,5.840708874091791181e+00,-7.698421473284832395e+00,3.830288198101463037e-01,6.339240487415593872e-01,3.695691483298909064e-01,-1.226681603188880088e+00
4.172691458046688950e-01,-2.461858143186316017e+00,-4.690333584666277034e+00,6.255870426181148192e-02,8.710423840293164410e-01,8.074485588616732157e-01,-2.084718923709829141e+00
2.347926730087303571e-01,-1.935315498516354316e+00,-2.736490587732550939e+00,7.311178063183397524e-02,7.136445795316787022e-01,2.141050423326638363e-01,-1.907487196216036018e+00
8.501950499058014143e-01,-2.934049421132182367e+00,2.427755744956452411e+00,2.429478084690287754e-01,7.980780156370745893e-01,2.569252672994476461e-02,-1.826841585544785485e+00
9.338327485906283698e-02,-5.338575955023951991e+00,-8.620590376253156606e-01,2.455034983374722035e-01,7.429751857522268743e-01,1.224128441453162242e-01,-1.868503462771102352e+00
-1.945112857187469291e-01,2.104635888381792608e+00,-2.155360805799420021e+00,7.190887936923682222e-01,8.682455040300496307e-02,6.435434071639472009e-01,-1.907655550240389131e+00
-8.181916364021426524e-01,-2.784858792273344097e+00,1.268647765617731960e+00,5.678024791676037353e-01,2.426384356783908847e-02,7.583496179297578577e-01,-1.730753662172480611e+00
-2.365550638801263705e-01,1.708644788570285566e+00,-4.955458983589109856e+00,6.362327743877620456e-01,2.240651278279149339e-01,3.379918117857566573e-01,-1.665431184298603817e+00
-1.019632475237298164e-01,5.727245578998793718e+00,-8.487412470068701253e+00,3.338168288991214538e-01,1.402222609946165988e-01,5.256038675325130916e-01,-1.238541575044569187e+00
9.537868176796139297e-01,-1.562640857861809396e+00,5.855678560092903995e-01,8.930147303433619288e-02,8.317801666516645431e-01,7.790206295683055338e-01,-2.055689972051596648e+00
