organism[Km],Km,kcat,alpha,logC,logC_fit,C,C_fit
91.4,91.43520477294425,1.0853820077285072,0.734893249745322,-1.4056264123533742,-1.3889532530056157,0.03929828406990314,0.04083633397610276
97.0,96.89138934050355,1.2640860703426016,0.734893249745322,-1.3579309276993776,-1.3889532530056157,0.04386004493705939,0.04083633397610276
99.5,99.59512597227082,1.5647473765993454,0.734893249745322,-1.2740474481382882,-1.3889532530056157,0.05320501278187046,0.04083633397610276
101.0,101.00166686406385,1.3447158388115295,0.734893249745322,-1.3443369948933006,-1.3889532530056157,0.04525462860737322,0.04083633397610276
101.9,102.25977346405561,0.7847692106940711,0.734893249745322,-1.5821765550494984,-1.3889532530056157,0.026171188466835332,0.04083633397610276
102.9,102.84611125905448,0.7180333733325905,0.734893249745322,-1.6225986564455057,-1.3889532530056157,0.023845220543147368,0.04083633397610276
110.0,109.44659544973415,1.803350331053405,0.734893249745322,-1.242515869286271,-1.3889532530056157,0.05721160489313986,0.04083633397610276
115.1,114.97102263243087,1.3522262277410668,0.734893249745322,-1.383263146226558,-1.3889532530056157,0.04137489015347604,0.04083633397610276
115.2,114.95489629513447,2.3623833387105875,0.734893249745322,-1.1409173605466842,-1.3889532530056157,0.07229073484871935,0.04083633397610276
115.4,116.74065162506034,0.7975847166277177,0.734893249745322,-1.6174107532630646,-1.3889532530056157,0.02413177385265062,0.04083633397610276
156.4,155.57962483808456,1.5717825459122758,0.734893249745322,-1.4144587958406711,-1.3889532530056157,0.03850713470066604,0.04083633397610276
352.9,351.26588864061426,2.4909881516814463,0.734893249745322,-1.474399034408677,-1.3889532530056157,0.03354292766106178,0.04083633397610276
708.3,710.6998973598177,4.9128440373117925,0.734893249745322,-1.4043520002346708,-1.3889532530056157,0.039413771982275275,0.04083633397610276
782.9,768.5596483142563,5.272126224460281,0.734893249745322,-1.398679174198279,-1.3889532530056157,0.039931978241769084,0.04083633397610276
