GH,logK2,logK3,a1,a2,a3,log diff
-7.967883149321096647e-01,6.967628901182393086e+00,-8.413338830199261764e+00,1.026524587403366606e+00,3.237605140365252820e-01,2.313337047771565347e-01,-1.844595971736054274e+00
-8.047019707588924931e-01,3.507533860055310093e+00,-9.355232008850394854e-01,9.374231959846262008e-01,1.127770105741962570e-01,4.124021294658237191e-01,-2.172920357584727569e+00
6.348622219366626407e-01,-9.440245336904819595e+00,4.851337946257034517e+00,1.159099864610818875e-01,5.073826874816799171e-01,5.785018983790483071e-01,-2.114384105498911648e+00
-8.338788088815722865e-01,5.063258993202401470e+00,-9.278168520658608642e+00,9.105007618439545647e-01,2.864366277558435536e-01,4.578430419848427135e-01,-1.848794237093855930e+00
-2.143077722426944831e-01,1.688329987375855490e+00,-4.202918351135039643e+00,6.344308720413540659e-01,1.148796224362757523e-01,7.606896959208498954e-01,-1.781790756060897651e+00
-7.002855860399278543e-01,3.787760164761236226e+00,-1.412066899583404034e+00,8.886186609141620840e-01,2.232994370011105456e-01,8.135060629999860682e-01,-1.975271048732031964e+00
9.248499022312872686e-01,-1.036336485028820364e+00,3.353960016046546588e+00,1.022342067016713263e-01,5.695230915065438992e-01,7.448968270911364709e-01,-2.109421234394841527e+00
1.242187208039637475e-01,-2.700674160997159845e+00,-1.901877978642896982e+00,1.945845328647578254e-01,2.280091758330765606e-01,6.864118340756433234e-01,-1.938884846129706796e+00
1.844708470202219286e-01,-2.964350469071283189e+00,-4.469458381453869755e+00,1.136482059439493930e-01,9.345982937262620194e-01,7.292006851391437117e-01,-2.164548084533876704e+00
9.250170372606699720e-01,-4.994110081914661770e+00,-3.392550816317119189e-01,1.500909452645494691e-01,3.878279642985716369e-01,8.470688242018384884e-01,-2.044565813776981766e+00
-1.397937153544897559e-01,2.771737582260841659e+00,-7.179171765535280691e+00,8.675233755103609612e-01,4.366756582446107426e-02,9.460512214929920338e-01,-2.057836806421784015e+00
-9.227998496446756516e-01,2.409158042078621165e+00,-1.130994325949963297e-01,8.418396739254524475e-01,1.407687851179719452e-01,9.238346870409904765e-01,-2.045394768548251196e+00
9.524629896001601814e-02,-9.463325598338851563e+00,-7.170824546794742460e+00,1.706836538402108916e-01,5.733647900664938790e-01,8.049292350985268740e-01,-1.934656504799445065e+00
8.279019225110340052e-02,-5.408889980323379199e+00,-3.068737558885975325e+00,7.074837366848567566e-01,6.665704754281661648e-01,2.577303152455284740e-01,-1.588387325651284820e+00
1.001143941765569034e-01,-7.392385050243331257e+00,-1.902537056889344713e+00,1.639588479653906194e-01,8.600988184726597596e-02,4.780618465209038881e-01,-1.974349153675997171e+00
1.916354865632785009e-01,-6.019885595378323018e+00,5.147933807361612102e-01,7.476927775658973041e-02,5.784115635414353862e-02,4.138310241988837346e-01,-2.168305568154226037e+00
2.304121647918607740e-01,-8.785833323914966186e+00,-1.435251610977761549e+00,2.582548007799067569e-01,2.672028529588680312e-01,7.389150928690080278e-01,-1.775910058435101746e+00
5.644408913899152669e-01,-1.392523400743709283e+00,3.658258994060323399e+00,1.590716738892143933e-01,6.912337465016268334e-01,5.665531315186734806e-01,-1.921611181513471323e+00
-4.707918591542546993e-01,2.241710314723724728e+00,-8.441324227480778930e+00,7.935644510750562430e-01,1.649895165100886130e-01,9.624200831098250752e-01,-1.952922515015076854e+00
2.969123252086403042e-01,-5.950724567974098100e+00,-1.722750092585359161e+00,7.850611543880141319e-02,3.962969434996750639e-02,8.327751234310752926e-01,-2.169513068281557988e+00
-4.178941546465090306e-01,9.667025308722654309e-02,-8.399412764175263391e+00,5.225947199002662913e-01,2.101475941301619854e-01,5.351577439845489614e-01,-1.401797697005555676e+00
-1.770172783053790000e-01,2.757706419980845425e+00,-3.587815204023656612e+00,8.807607443762288657e-01,8.999610813736164117e-02,9.741934082869194156e-02,-2.103191606849307949e+00
1.000749614391411996e-01,-4.685564986088612827e+00,-3.286900593363478063e+00,2.430641899902624414e-01,2.202632090678364463e-01,9.255061591014019928e-01,-1.939493060567228699e+00
-1.905980440985108326e-01,1.783338314773150302e+00,-7.743033853428998192e+00,6.349468033681990864e-01,4.317961481135806912e-02,9.065749443294284227e-01,-1.808015869728344605e+00
-9.109053499977152191e-01,2.050478663429206261e+00,-6.900663357964448963e+00,8.285039560189330077e-01,1.287586202042965700e-01,7.201212145204448634e-01,-2.037527898076142652e+00
1.026789108418399571e-01,-6.315670399578174887e+00,-9.730463164296965228e-01,3.482924204143524882e-01,6.029558839643626156e-01,3.357104815577128254e-01,-1.833458720751360849e+00
-6.793737338775224233e-01,1.807406576161214362e+00,-3.419299128643253027e+00,7.850714903712687764e-01,1.428237351470411087e-01,7.714769629750233282e-01,-1.966827904326964971e+00
-2.678871598789660524e-01,1.809882481840592305e+00,-8.635135099408859816e+00,6.967204340106134541e-01,1.281629945606089505e-01,2.726624063317196756e-01,-1.858052783303634659e+00
9.435431844407144997e-01,-3.551796814385549172e+00,6.835101914697632175e-01,1.435148627179980152e-01,9.090361408715671443e-01,2.701083747488177145e-01,-2.128979886496045193e+00
4.924914381760644999e-01,-3.434834079142934371e+00,-4.604445663849769055e+00,1.684836131894985323e-01,9.256582766184060507e-01,2.662005305522882059e-01,-2.121651308790738710e+00
1.561712655085732426e-01,-3.517364245921889676e+00,-1.994441523445731057e-01,8.614092238163656434e-02,4.559603821042369498e-01,4.201846513345983136e-01,-2.139342943196409053e+00
7.877465784993016307e-01,-2.815070794422918632e-01,5.355065702357515889e+00,2.191297282123754742e-01,6.291061045712837974e-01,4.894275618176754383e-01,-1.666487597930422560e+00
2.226304767471948831e-01,-1.660802710517728764e+00,-5.694150937598860374e+00,5.325895380744063989e-02,6.453264720020009948e-01,9.263843104696823927e-01,-1.823367903854238747e+00
-8.862373852084610704e-01,-1.309857185638860499e-01,-2.155268866227399993e+00,6.916245295616869626e-01,1.237225310986591331e-01,9.369100508577981046e-01,-1.855984543573799384e+00
1.230342048186069404e-01,-6.078270058393025366e+00,6.458003459622355669e-01,3.295310480692089650e-01,1.834272636728418171e-01,1.017447963976200465e-01,-1.700645790081293907e+00
-2.285177707443839801e-01,6.985540505606997463e-01,-8.263139588227629062e+00,4.470360365362446298e-01,2.331578659512029139e-02,7.070239481415139249e-01,-1.583002744287131502e+00
-2.103459493607154618e-01,2.571421761273307904e+00,-2.209016977061072140e+00,8.406653878860026463e-01,8.925186943952413687e-02,8.234901377233700970e-01,-2.062071683208947181e+00
-7.304250764611577296e-01,1.755117792644747210e+00,-3.598198699652199739e+00,7.690621738775731409e-01,1.661342932967585506e-01,7.761787500766051950e-01,-1.918317796844450251e+00
-1.679636506985501543e-01,2.559936976552217303e+00,-8.890251780838497098e+00,8.235504389564657357e-01,8.655464580747619652e-02,1.753868001523433418e-01,-2.033746909633655786e+00
6.086357806792839220e-01,4.668543847189368101e+00,-5.581841691085003276e+00,3.391901871712871275e-02,2.503349348319421352e-01,9.202254561763834051e-01,-1.337887741295863187e+00
5.087472845976459546e-01,-5.617855640911276538e+00,8.169463199048649926e+00,2.492209985678341955e-01,9.430798909497684068e-01,2.435719199646484978e-01,-1.730410286446218526e+00
-2.005033485920814096e-01,2.467411348347081645e+00,-3.341565893615156213e+00,8.120238136758661796e-01,9.414298565593272328e-02,7.608505744843930829e-01,-2.026238931182070324e+00
5.680745046438557821e-01,-8.870490228544536393e+00,8.169791406671842893e+00,6.296427041897539878e-02,6.434922401805148739e-02,3.880254815819226266e-01,-2.027760796804037202e+00
4.390967502796048749e-01,3.655247565887584371e-01,6.487095265248020937e+00,5.851367001686137714e-02,4.152606507037451822e-01,3.194076600486958073e-01,-2.107124734822886314e+00
-5.067532379353344441e-01,2.753753745474996073e+00,3.889412861306792424e-01,8.357892637124256785e-01,1.910439169492924028e-01,7.868153403600066653e-01,-1.970614143337577451e+00
-4.154121465300030236e-01,8.477841708092286321e-01,8.768264538651343587e-02,5.835128014298717192e-01,2.135382950385305290e-01,9.688221646002719289e-01,-1.619353401159961514e+00
9.486191722047129793e-02,-7.627650263907051809e+00,-7.171922971546685233e+00,2.261216121097651133e-01,3.226377390611727680e-01,5.758539911940697698e-01,-1.815832338893016873e+00
9.398723548762144553e-02,-9.334684091754741786e+00,-4.712327627604263824e+00,9.848312849692431037e-02,1.449807915646498802e-01,3.078150357675970006e-01,-1.945833153092536350e+00
9.461097893237635503e-02,-6.786575414576015319e+00,-3.691187214985265364e+00,3.257811213876483092e-01,2.758793249473846521e-01,2.308124374132987100e-01,-1.940521702875016574e+00
5.214034044206985463e-01,-4.793733316385057286e+00,-8.931809738282113775e-01,2.882288627753334387e-01,9.900843037344870812e-01,5.335308317663247646e-01,-1.917584266127016823e+00
-9.476457966237558095e-01,3.649783218220041814e+00,1.039898738587192728e+00,9.649701637943468580e-01,7.911200646386931656e-02,8.622657235825788025e-01,-2.174317182978927843e+00
1.409510202634751130e-01,-2.928467229028891339e+00,-2.904841192935805338e-01,6.487731465809458420e-02,9.028915919109563593e-01,1.984251404782251815e-01,-2.107584854085236881e+00
2.381729678077156576e-01,-2.479467134043583432e+00,-4.183820031570861797e-01,4.771298464266227751e-02,4.032323332814781169e-01,6.412485431582326534e-01,-2.181012424851652032e+00
8.462623746755115750e-01,-2.101349281203085173e+00,-2.073820211486880005e+00,6.093936274440395207e-02,8.789274608696210356e-01,8.834072341024377106e-01,-2.093367131507012591e+00
-2.843958821393683389e-01,1.834745124971238095e+00,-6.093815240137077538e+00,7.295725311111364020e-01,6.639802228640473425e-02,9.724822445266381177e-01,-1.928963432535393041e+00
