GH,logK2,logK3,a1,a2,a3,log diff
9.398054636833064190e-02,-9.000202686734150248e+00,-5.098000248260145639e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.945582651483243053e+00
9.392667408439225873e-02,-9.219162792404988593e+00,-4.891771105224576921e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.945673986041760228e+00
1.023136868409040556e-01,-8.026470055044608642e+00,-3.361408544533507126e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.673803579795038132e+00
9.399179762131404381e-02,-8.948509961274410784e+00,-4.608462988713639241e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.945633984647815451e+00
8.617099317835164030e-02,-9.284221560444288812e+00,-1.789623113823888279e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.590108390750419209e+00
9.395525655981125379e-02,-8.826035721633264330e+00,-5.621618534511108933e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.944749431376734172e+00
9.386672674803642202e-02,-9.272239379138961013e+00,-4.717899599227625806e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.945615307966036100e+00
9.398631516954694676e-02,-9.417795759042734360e+00,-4.667055752498791676e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.945697575338407148e+00
9.399699009711925957e-02,-9.313568456491131187e+00,-4.267656412389917442e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.945548177018806113e+00
9.411930847684712997e-02,-9.232443678710058776e+00,-4.549407713076183413e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.945563370900286415e+00
9.406005216503987576e-02,-9.242457075521494758e+00,-4.822901354389905748e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.945664297393174369e+00
9.401542208107072085e-02,-9.091046703104662896e+00,-5.119768709847743793e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.945609121778163919e+00
9.481444270347694214e-02,-9.054400709965925387e+00,-4.840538930540625451e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.941887023776524668e+00
9.463973804406580759e-02,-9.307519537907044338e+00,-4.500329536994330581e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.943331258744948276e+00
9.417340346787639316e-02,-8.172728788488141660e+00,-3.223898625637040105e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.942692487398454126e+00
9.386129237603246800e-02,-8.943550522171390682e+00,-4.770315364166305194e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.945555246108916947e+00
9.354470118717506111e-02,-9.339306304358220956e+00,-4.933895120369781395e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.944660001349260536e+00
